Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,puts_open_interest,put_volume,Put_IV,Put_Vanna
TSLL,2025-12-20,2025-12-26,,11.0,0.988,0.004,-0.02,0.0,0.0,2.597,,-0.053,0.01,-0.101,214.0,0.0,3.996,
TSLL,2025-12-20,2025-12-26,,12.0,0.98,0.007,-0.03,0.0,0.0,2.514,,-0.047,0.011,-0.075,0.0,0.0,3.248,
TSLL,2025-12-20,2025-12-26,,13.0,0.978,0.008,-0.029,0.0,0.0,2.218,,-0.006,0.003,-0.007,10.0,195.0,1.724,
TSLL,2025-12-20,2025-12-26,,14.0,0.975,0.011,-0.028,0.0,1.0,1.942,,-0.007,0.004,-0.007,541.0,891.0,1.504,
TSLL,2025-12-20,2025-12-26,,14.5,0.932,0.019,-0.078,0.0,5.0,2.479,,-0.007,0.005,-0.007,605.0,32.0,1.399,
TSLL,2025-12-20,2025-12-26,,15.0,0.982,0.01,-0.018,10.0,0.0,1.524,,-0.008,0.006,-0.007,25.0,164.0,1.298,
TSLL,2025-12-20,2025-12-26,,15.5,0.98,0.012,-0.017,0.0,0.0,1.409,,-0.028,0.015,-0.023,420.0,0.0,1.53,
TSLL,2025-12-20,2025-12-26,,16.0,0.979,0.014,-0.017,2.0,0.0,1.297,,-0.009,0.008,-0.006,200.0,46.0,1.103,
TSLL,2025-12-20,2025-12-26,,16.5,0.965,0.02,-0.026,1.0,0.0,1.323,,-0.017,0.013,-0.011,351.0,6.0,1.114,
TSLL,2025-12-20,2025-12-26,,17.0,0.896,0.036,-0.078,186.0,1.0,1.797,,-0.025,0.019,-0.015,271.0,117.0,1.083,
TSLL,2025-12-20,2025-12-26,,17.5,0.935,0.035,-0.04,5.0,16.0,1.276,,-0.027,0.022,-0.014,216.0,28.0,0.981,
TSLL,2025-12-20,2025-12-26,,18.0,0.905,0.046,-0.054,29.0,27.0,1.315,,-0.043,0.033,-0.021,962.0,419.0,0.969,
TSLL,2025-12-20,2025-12-26,,18.5,0.844,0.055,-0.088,94.0,4.0,1.53,,-0.059,0.045,-0.026,455.0,190.0,0.928,
TSLL,2025-12-20,2025-12-26,,19.0,0.929,0.057,-0.029,157.0,75.0,0.84,,-0.078,0.059,-0.03,3460.0,886.0,0.868,
TSLL,2025-12-20,2025-12-26,,19.5,0.926,0.07,-0.025,375.0,118.0,0.702,,-0.114,0.08,-0.038,2729.0,1404.0,0.853,
TSLL,2025-12-20,2025-12-26,,20.0,0.862,0.103,-0.041,1044.0,297.0,0.758,,-0.16,0.103,-0.048,1695.0,2158.0,0.836,
TSLL,2025-12-20,2025-12-26,,20.5,0.808,0.134,-0.048,358.0,207.0,0.723,,-0.222,0.126,-0.058,1435.0,2008.0,0.836,
TSLL,2025-12-20,2025-12-26,,21.0,0.729,0.162,-0.058,1355.0,444.0,0.723,,-0.294,0.147,-0.067,1133.0,2348.0,0.829,
TSLL,2025-12-20,2025-12-26,,21.5,0.642,0.188,-0.063,1241.0,1673.0,0.699,,-0.372,0.164,-0.072,818.0,1263.0,0.814,
TSLL,2025-12-20,2025-12-26,,22.0,0.543,0.198,-0.067,2229.0,3930.0,0.707,,-0.458,0.17,-0.076,1077.0,7744.0,0.825,
TSLL,2025-12-20,2025-12-26,,22.5,0.444,0.198,-0.067,1445.0,3879.0,0.706,,-0.541,0.167,-0.078,2034.0,4971.0,0.841,
TSLL,2025-12-20,2025-12-26,,23.0,0.355,0.181,-0.064,3754.0,4907.0,0.725,,-0.623,0.162,-0.073,3289.0,2814.0,0.831,
TSLL,2025-12-20,2025-12-26,,23.5,0.28,0.159,-0.06,1870.0,2634.0,0.747,,-0.7,0.15,-0.066,2953.0,1514.0,0.821,
TSLL,2025-12-20,2025-12-26,,24.0,0.21,0.137,-0.051,4358.0,2459.0,0.744,,-0.759,0.131,-0.06,2645.0,1539.0,0.841,
TSLL,2025-12-20,2025-12-26,,24.5,0.172,0.113,-0.049,0.0,508.0,0.799,,-0.704,0.094,-0.104,0.0,11.0,1.293,
TSLL,2025-12-20,2025-12-26,,25.0,0.123,0.091,-0.038,2903.0,1250.0,0.787,,-0.834,0.095,-0.053,49.0,33.0,0.93,
TSLL,2025-12-20,2025-12-26,,25.5,0.096,0.074,-0.033,0.0,15.0,0.816,,-0.82,0.082,-0.068,0.0,10.0,1.124,
TSLL,2025-12-20,2025-12-26,,26.0,0.077,0.06,-0.029,2325.0,1804.0,0.851,,-0.886,0.069,-0.044,64.0,53.0,0.999,
TSLL,2025-12-20,2025-12-26,,26.5,0.059,0.048,-0.024,0.0,49.0,0.87,,-0.895,0.06,-0.044,0.0,0.0,1.072,
TSLL,2025-12-20,2025-12-26,,27.0,0.049,0.039,-0.022,592.0,227.0,0.906,,-0.9,0.054,-0.046,1.0,0.0,1.151,
TSLL,2025-12-20,2025-12-26,,27.5,0.039,0.032,-0.019,0.0,2.0,0.932,,-0.905,0.049,-0.047,0.0,0.0,1.227,
TSLL,2025-12-20,2025-12-26,,28.0,0.03,0.025,-0.015,469.0,229.0,0.947,,-0.982,0.018,-0.008,0.0,9.0,0.876,
TSLL,2025-12-20,2025-12-26,,29.0,0.065,0.034,-0.04,55.0,0.0,1.321,,-0.938,0.033,-0.036,0.0,0.0,1.312,
TSLL,2025-12-20,2025-12-26,,30.0,0.011,0.01,-0.007,120.0,3.0,1.004,,-0.942,0.029,-0.038,1.0,0.0,1.438,
TSLL,2025-12-20,2025-12-26,,31.0,0.065,0.027,-0.048,0.0,0.0,1.623,,-0.945,0.025,-0.039,0.0,0.0,1.556,
TSLL,2025-12-20,2025-12-26,,32.0,0.075,0.027,-0.062,0.0,0.0,1.846,,-0.948,0.023,-0.04,0.0,0.0,1.669,
TSLL,2025-12-20,2025-12-26,,33.0,0.106,0.029,-0.098,0.0,0.0,2.245,,-0.951,0.02,-0.041,0.0,0.0,1.777,
TSLL,2025-12-20,2025-12-26,,34.0,0.112,0.028,-0.11,0.0,0.0,2.439,,-0.953,0.019,-0.042,0.0,0.0,1.88,
TSLL,2025-12-20,2025-12-26,,35.0,0.008,0.005,-0.007,60.0,0.0,1.428,,-0.955,0.017,-0.043,0.0,0.0,1.979,
