Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,puts_open_interest,put_volume,Put_IV,Put_Vanna,Call_GEX,Put_GEX,Net_GEX,Total_GEX,Call_DEX,Put_DEX,Net_DEX,Call_VEX,Put_VEX,Net_VEX,Call_Theta_Exp,Put_Theta_Exp,Net_TEX,Net_Theta_Exp,Call_IVxOI,Put_IVxOI,IVxOI,Distance_to_Spot,Rel_Dist,OI_Imbalance,Net_GEX_Rank,Net_DEX_Rank,Net_VEX_Rank,Net_Theta_Rank,IVxOI_Rank,OI_Imbalance_Rank
SPXL,2025-11-28,2025-12-05,250.0,191.0,0.0,0.0,0.0,22,0,0.0,,-0.038,0.004,-0.135,2,9,0.694,,0.0,51250.0,-51250.0,51250.0,0.0,-1890.0,1890.0,0,0,0,0.0,-27.02,27.02,-27.02,0.0,1.389,1.389,59.0,0.236,20,2.0,2.0,1.0,2.0,2.0,2.0
SPXL,2025-11-28,2025-12-05,250.0,210.0,0.953,0.012,-0.086,71,16,0.279,,-0.156,0.018,-0.265,40,108,0.472,,5413750.0,4425000.0,988750.0,9838750.0,1692107.5,-155900.0,1848007.5,0,0,0,-611.31,-1061.6,450.29,-1672.91,19.844,18.896,38.74,40.0,0.16,31,1.0,1.0,1.0,1.0,1.0,1.0
