Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna,CALL_DEX,PUT_DEX,DEX,CALL_GEX,PUT_GEX,GEX,GEX_SKEW,CALL_VEGA_EXPO,PUT_VEGA_EXPO,VOL_SHOCK,CALL_THETA_EXPO,PUT_THETA_EXPO,THETA_EXPO,Call_IVxOI,Put_IVxOI,IVxOI,Distance_to_Spot,Rel_Dist,OI_Imbalance,Avg_IV,DEX_z,GEX_z,GEX_SKEW_z,VOL_SHOCK_z,THETA_EXPO_z,IVxOI_z,Avg_IV_z,DEX_z_band,GEX_z_band,GEX_SKEW_z_band,VOL_SHOCK_z_band,DEX_CSP_Action,DEX_CC_Action,GEX_CSP_Action,GEX_CC_Action,GEX_SKEW_CSP_Action,GEX_SKEW_CC_Action,GEX_SKEW_Equity_Meaning,VOL_SHOCK_CSP_Action,VOL_SHOCK_CC_Action,CSP_Hard_Blocks,CC_Hard_Blocks,CSP_Combined_Signal,CC_Combined_Signal,DEX_Rank,GEX_Rank,GEX_SKEW_Rank,VOL_SHOCK_Rank,THETA_EXPO_Rank,IVxOI_Rank,OI_Imbalance_Rank,DEX_total,CALL_DEX_total,PUT_DEX_total,DEX_$_total,CALL_GEX_total,PUT_GEX_total,NET_GEX_total,GEX_SKEW_total,VEGA_EXPO_total,CALL_VEGA_EXPO_total,PUT_VEGA_EXPO_total,THETA_EXPO_total,CALL_THETA_EXPO_total,PUT_THETA_EXPO_total,IVxOI_total,Total_Call_OI,Total_Put_OI,Total_OI
TSLL,2025-12-20,2025-12-26,430.0,17.5,0.935,0.035,-0.04,0.004,5.0,16.0,1.276,,-0.027,0.022,-0.014,0.002,216.0,28.0,0.981,,-467.55,583.2,115.65,17.5,-483.84,-466.34,-501.34,-1.8,-38.88,-40.68,19.9,311.04,330.94,6.382,211.874,218.256,412.5,0.959,-211.0,1.129,-0.047,-0.149,0.545,0.552,-0.568,-0.635,-0.271,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),26.0,19.0,20.0,22.0,24.0,25.0,23.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,18.0,0.905,0.046,-0.054,0.005,29.0,27.0,1.315,,-0.043,0.033,-0.021,0.003,962.0,419.0,0.969,,-2623.34,4098.12,1474.78,131.95,-3174.6,-3042.65,-3306.55,-13.92,-250.12,-264.04,157.18,1991.34,2148.52,38.126,932.563,970.689,412.0,0.958,-933.0,1.142,-0.013,-0.411,0.449,0.429,-0.412,-0.119,-0.248,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),17.0,14.0,14.0,14.0,15.0,14.0,9.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,18.5,0.844,0.055,-0.088,0.007,94.0,4.0,1.53,,-0.059,0.045,-0.026,0.003,455.0,190.0,0.928,,-7930.78,2689.05,-5241.73,518.88,-2033.85,-1514.97,-2552.73,-63.92,-150.15,-214.07,828.14,1169.35,1997.49,143.858,422.286,566.143,411.5,0.957,-361.0,1.229,-0.182,-0.255,0.475,0.457,-0.425,-0.397,-0.1,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅ CC_GOOD (Some upgrades),13.0,16.0,15.0,15.0,16.0,20.0,19.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,19.0,0.929,0.057,-0.029,0.004,157.0,75.0,0.84,,-0.078,0.059,-0.03,0.004,3460.0,886.0,0.868,,-14582.16,26815.0,12232.84,896.47,-20414.0,-19517.53,-21310.47,-61.23,-1418.6,-1479.83,450.59,10241.6,10692.19,131.911,3005.01,3136.921,411.0,0.956,-3303.0,0.854,0.257,-2.086,-0.167,-0.241,0.321,1.366,-0.737,−0.75 to +0.75,≤ −2.0,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,❌ Avoid CSP,⚠️ CC for protection only,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_NO: GEX_z ≤ -1.5 (instability),CC_CONDITIONAL: GEX_z ≤ -1.5 (prefer waiting),❌ CSP_NO (Hard Block),⚠️ CC_CONDITIONAL (Check blocks),11.0,4.0,12.0,12.0,11.0,4.0,1.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,19.5,0.926,0.07,-0.025,0.004,375.0,118.0,0.702,,-0.114,0.08,-0.038,0.006,2729.0,1404.0,0.853,,-34725.0,30974.15,-3750.85,2640.0,-21695.55,-19055.55,-24335.55,-150.0,-1500.95,-1650.95,937.5,10506.65,11444.15,263.438,2328.656,2592.093,410.5,0.955,-2354.0,0.778,-0.145,-2.039,-0.271,-0.335,0.385,0.992,-0.866,−0.75 to +0.75,≤ −2.0,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,❌ Avoid CSP,⚠️ CC for protection only,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_NO: GEX_z ≤ -1.5 (instability),CC_CONDITIONAL: GEX_z ≤ -1.5 (prefer waiting),❌ CSP_NO (Hard Block),⚠️ CC_CONDITIONAL (Check blocks),14.0,5.0,10.0,10.0,9.0,6.0,3.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,20.0,0.862,0.103,-0.041,0.006,1044.0,297.0,0.758,,-0.16,0.103,-0.048,0.007,1695.0,2158.0,0.836,,-89940.6,27136.95,-62803.65,10732.32,-17407.65,-6675.33,-28139.97,-657.72,-1169.55,-1827.27,4301.28,8102.1,12403.38,791.248,1417.868,2209.115,410.0,0.953,-651.0,0.797,-1.628,-0.78,-0.401,-0.432,0.467,0.73,-0.834,−2.0 to −1.5,−1.5 to −0.75,−0.75 to +0.75,−0.75 to +0.75,❌ Avoid CSP,⚠️ CC acceptable at resistance,⚠️ CSP with confirmation,✅ CC attractive,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_NO: DEX_z ≤ -1.5 (strong downside),CC_OK,❌ CSP_NO (Hard Block),⚠️ CC_CONDITIONAL (Base criteria not met),6.0,11.0,8.0,8.0,8.0,9.0,10.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,20.5,0.808,0.134,-0.048,0.008,358.0,207.0,0.723,,-0.222,0.126,-0.058,0.008,1435.0,2008.0,0.836,,-28908.5,31914.4,3005.9,4779.3,-18052.3,-13273.0,-22831.6,-279.24,-1205.4,-1484.64,1729.14,8380.4,10109.54,258.762,1199.804,1458.566,409.5,0.952,-1077.0,0.779,0.025,-1.451,-0.219,-0.243,0.271,0.215,-0.864,−0.75 to +0.75,−1.5 to −0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,⚠️ CSP with confirmation,✅ CC attractive,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,⚠️ CSP_CONDITIONAL (Base criteria not met),⚠️ CC_CONDITIONAL (Base criteria not met),15.0,9.0,11.0,11.0,12.0,13.0,8.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,21.0,0.729,0.162,-0.058,0.009,1355.0,444.0,0.723,,-0.294,0.147,-0.067,0.01,1133.0,2348.0,0.829,,-98738.85,33276.21,-65462.64,21923.9,-16609.78,5314.12,-38533.68,-1273.7,-1110.34,-2384.04,7859.0,7568.44,15427.44,979.123,939.37,1918.493,409.0,0.951,222.0,0.776,-1.695,0.439,-0.756,-0.739,0.727,0.531,-0.87,−2.0 to −1.5,−0.75 to +0.75,−1.5 to −0.75,−0.75 to +0.75,❌ Avoid CSP,⚠️ CC acceptable at resistance,✅ Normal CSP,✅ Normal CC,⚠️ CSP selective,✅ CC slightly favored,Resistance > support,✅ Ideal zone,✅ Ideal zone,CSP_NO: DEX_z ≤ -1.5 (strong downside),CC_OK,❌ CSP_NO (Hard Block),✅✅ CC_STRONG (Multiple upgrades),5.0,13.0,6.0,6.0,6.0,11.0,21.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,21.5,0.642,0.188,-0.063,0.011,1241.0,1673.0,0.699,,-0.372,0.164,-0.072,0.011,818.0,1263.0,0.814,,-79659.79,30470.5,-49189.29,23380.44,-13423.38,9957.06,-36803.82,-1315.46,-875.26,-2190.72,7818.3,5889.6,13707.9,867.707,665.852,1533.559,408.5,0.95,423.0,0.757,-1.286,0.911,-0.697,-0.632,0.579,0.267,-0.903,−1.5 to −0.75,0.75 to +1.5,−0.75 to +0.75,−0.75 to +0.75,⚠️ CSP only with strong GEX_z,✅ CC attractive,✅ Preferred CSP zone,⚠️ CC less attractive,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,⚠️ CSP_CONDITIONAL (Base criteria not met),✅✅ CC_STRONG (Multiple upgrades),7.0,10.0,7.0,7.0,7.0,12.0,17.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
TSLL,2025-12-20,2025-12-26,430.0,22.0,0.543,0.198,-0.067,0.011,2229.0,3930.0,0.707,,-0.458,0.17,-0.076,0.011,1077.0,7744.0,0.825,,-120945.54,49358.91,-71586.63,44134.2,-18287.46,25846.74,-62421.66,-2496.48,-1206.24,-3702.72,15001.17,8217.51,23218.68,1575.68,888.094,2463.774,408.0,0.949,1152.0,0.766,-1.849,2.526,-1.574,-1.466,1.395,0.904,-0.887,−2.0 to −1.5,≥ +1.5,−2.0 to −1.5,−1.5 to −0.75,❌ Avoid CSP,⚠️ CC acceptable at resistance,✅ Best CSP,⚠️ CC only at resistance,⚠️ CSP only if DEX_z≥0 & GEX_z>0,✅ CC favored,Sell rips / fade strength,✅ Normal,✅ Normal,CSP_NO: DEX_z ≤ -1.5 (strong downside),CC_OK,❌ CSP_NO (Hard Block),✅✅ CC_STRONG (Multiple upgrades),4.0,2.0,5.0,5.0,5.0,7.0,6.0,78026.93,-896254.31,974281.24,33551579.9,339871.74,-300936.82,38934.92,-640808.56,-40670.82,-20288.61,-20382.21,271226.98,128114.12,143112.86,44643.174,25037.0,27653.0,52690.0
