<<<<<<< HEAD
Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna,CALL_DEX,PUT_DEX,DEX,CALL_GEX,PUT_GEX,GEX,GEX_SKEW,CALL_VEGA_EXPO,PUT_VEGA_EXPO,VOL_SHOCK,CALL_THETA_EXPO,PUT_THETA_EXPO,THETA_EXPO,Call_IVxOI,Put_IVxOI,IVxOI,Distance_to_Spot,Rel_Dist,OI_Imbalance,Avg_IV,DEX_z,GEX_z,GEX_SKEW_z,VOL_SHOCK_z,THETA_EXPO_z,IVxOI_z,Avg_IV_z,DEX_z_band,GEX_z_band,GEX_SKEW_z_band,VOL_SHOCK_z_band,DEX_CSP_Action,DEX_CC_Action,GEX_CSP_Action,GEX_CC_Action,GEX_SKEW_CSP_Action,GEX_SKEW_CC_Action,GEX_SKEW_Equity_Meaning,VOL_SHOCK_CSP_Action,VOL_SHOCK_CC_Action,CSP_Hard_Blocks,CC_Hard_Blocks,CSP_Combined_Signal,CC_Combined_Signal,DEX_Rank,GEX_Rank,GEX_SKEW_Rank,VOL_SHOCK_Rank,THETA_EXPO_Rank,IVxOI_Rank,OI_Imbalance_Rank,DEX_total,CALL_DEX_total,PUT_DEX_total,DEX_$_total,CALL_GEX_total,PUT_GEX_total,NET_GEX_total,GEX_SKEW_total,VEGA_EXPO_total,CALL_VEGA_EXPO_total,PUT_VEGA_EXPO_total,THETA_EXPO_total,CALL_THETA_EXPO_total,PUT_THETA_EXPO_total,IVxOI_total,Total_Call_OI,Total_Put_OI,Total_OI
SPXL,2025-11-28,2025-12-05,6070.0,191.0,0.0,0.0,0.0,0.0,22,0,0.0,,-0.038,0.004,-0.135,0.024,2,9,0.694,,-0.0,7.56,7.56,0.0,-0.82,-0.82,-0.82,-0.0,-4.7,-4.7,-0.0,27.02,27.02,0.0,1.389,1.389,5879.0,0.969,20,0.347,0.707,-0.707,0.707,0.707,-0.707,-0.707,-0.707,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅✅ CSP_STRONG (Multiple upgrades),✅ CC_OK (Base criteria met),2.0,2.0,2.0,2.0,2.0,2.0,2.0,-6137.27,-6768.43,631.16,-37253228.9,86.62,-71.62,15.0,-158.24,-475.99,-198.09,-277.9,1699.93,611.31,1088.62,40.13,93,42,135
SPXL,2025-11-28,2025-12-05,6070.0,210.0,0.953,0.012,-0.086,0.028,71,16,0.279,,-0.156,0.018,-0.265,0.068,40,108,0.472,,-6768.43,623.6,-6144.83,86.62,-70.8,15.82,-157.42,-198.09,-273.2,-471.29,611.31,1061.6,1672.91,19.844,18.896,38.74,5860.0,0.965,31,0.376,-0.707,0.707,-0.707,-0.707,0.707,0.707,0.707,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅✅ CC_STRONG (Multiple upgrades),1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6137.27,-6768.43,631.16,-37253228.9,86.62,-71.62,15.0,-158.24,-475.99,-198.09,-277.9,1699.93,611.31,1088.62,40.13,93,42,135
=======
Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_vega,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,put_vega,puts_open_interest,put_volume,Put_IV,Put_Vanna,CALL_DEX,PUT_DEX,DEX,CALL_GEX,PUT_GEX,GEX,GEX_SKEW,CALL_VEGA_EXPO,PUT_VEGA_EXPO,VOL_SHOCK,CALL_THETA_EXPO,PUT_THETA_EXPO,THETA_EXPO,Call_IVxOI,Put_IVxOI,IVxOI,Distance_to_Spot,Rel_Dist,OI_Imbalance,Avg_IV,DEX_z,GEX_z,GEX_SKEW_z,VOL_SHOCK_z,THETA_EXPO_z,IVxOI_z,Avg_IV_z,DEX_z_band,GEX_z_band,GEX_SKEW_z_band,VOL_SHOCK_z_band,DEX_CSP_Action,DEX_CC_Action,GEX_CSP_Action,GEX_CC_Action,GEX_SKEW_CSP_Action,GEX_SKEW_CC_Action,GEX_SKEW_Equity_Meaning,VOL_SHOCK_CSP_Action,VOL_SHOCK_CC_Action,CSP_Hard_Blocks,CC_Hard_Blocks,CSP_Combined_Signal,CC_Combined_Signal,DEX_Equity_Interp,DEX_Support_Resistance,GEX_Equity_Interp,GEX_Level_Behavior,VOL_SHOCK_Equity_Interp,VOL_SHOCK_Expectation,Equity_Combined_Signal,DEX_Rank,GEX_Rank,GEX_SKEW_Rank,VOL_SHOCK_Rank,THETA_EXPO_Rank,IVxOI_Rank,OI_Imbalance_Rank,DEX_total,CALL_DEX_total,PUT_DEX_total,DEX_$_total,CALL_GEX_total,PUT_GEX_total,NET_GEX_total,GEX_SKEW_total,VEGA_EXPO_total,CALL_VEGA_EXPO_total,PUT_VEGA_EXPO_total,THETA_EXPO_total,CALL_THETA_EXPO_total,PUT_THETA_EXPO_total,IVxOI_total,Total_Call_OI,Total_Put_OI,Total_OI
SPXL,2025-11-28,2025-12-05,,191.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,,-0.038,0.004,-0.135,0.024,2.0,9.0,0.694,,-0.0,7.6,7.6,-0.0,-0.8,-0.8,-0.8,-0.0,-4.8,-4.8,-0.0,27.0,27.0,0.0,1.388,1.388,,,20.0,0.347,0.707,0.707,-0.707,0.707,-0.707,-0.707,-0.707,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅✅ CSP_STRONG (Multiple upgrades),✅ CC_OK (Base criteria met),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,⚪ Neutral Zone,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-6134.699999999999,-6766.299999999999,631.6,,-85.2,-72.8,-158.0,12.400000000000006,-475.6,-198.8,-276.8,1697.6000000000004,610.6,1087.0000000000002,40.077,93.0,42.0,135.0
SPXL,2025-11-28,2025-12-05,,210.0,0.953,0.012,-0.086,0.028,71.0,16.0,0.279,,-0.156,0.018,-0.265,0.068,40.0,108.0,0.472,,-6766.3,624.0,-6142.3,-85.2,-72.0,-157.2,13.2,-198.8,-272.0,-470.8,610.6,1060.0,1670.6,19.809,18.88,38.689,,,31.0,0.376,-0.707,-0.707,0.707,-0.707,0.707,0.707,0.707,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,−0.75 to +0.75,✅ Ideal CSP zone,✅ Ideal CC zone,✅ Normal CSP,✅ Normal CC,Neutral,Neutral,No side advantage,✅ Ideal zone,✅ Ideal zone,CSP_OK,CC_OK,✅ CSP_GOOD (Some upgrades),✅✅ CC_STRONG (Multiple upgrades),Neutral pressure — normal technical support/resistance,✅ Normal technical support/resistance,Mixed — normal TA applies,Normal TA applies,Neutral — clean technical reactions,Clean technical reactions,⚪ Neutral Zone,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-6134.699999999999,-6766.299999999999,631.6,,-85.2,-72.8,-158.0,12.400000000000006,-475.6,-198.8,-276.8,1697.6000000000004,610.6,1087.0000000000002,40.077,93.0,42.0,135.0
>>>>>>> 3ec08c119acd9e2329772d3085ca3fa0bceb7eb7
