Symbol,Date,Expiry,Spot,Strike,call_delta,call_gamma,call_theta,call_open_interest,call_volume,Call_IV,Call_Vanna,puts_delta,put_gamma,put_theta,puts_open_interest,put_volume,Put_IV,Put_Vanna,Call_GEX,Put_GEX,Net_GEX,Total_GEX,Call_DEX,Put_DEX,Net_DEX,Call_VEX,Put_VEX,Net_VEX,Call_Theta_Exp,Put_Theta_Exp,Net_TEX,Net_Theta_Exp,Call_IVxOI,Put_IVxOI,IVxOI,Distance_to_Spot,Rel_Dist,OI_Imbalance,Net_GEX_Rank,Net_DEX_Rank,Net_VEX_Rank,Net_Theta_Rank,IVxOI_Rank,OI_Imbalance_Rank
TSLL,2025-12-19,2025-12-26,,11.0,0.97,0.007,-0.041,0.0,10.0,2.857,,-0.048,0.009,-0.069,214.0,0.0,3.378,,,,,,,,,0.0,0.0,0.0,-0.0,-1476.6,1476.6,-1476.6,0.0,722.892,722.892,,,-214.0,,,1.0,16.0,17.0,22.0
TSLL,2025-12-19,2025-12-26,,12.0,0.949,0.011,-0.065,0.0,1.0,2.969,,-0.088,0.012,-0.13,0.0,26.0,3.958,,,,,,,,,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,,,0.0,,,1.0,30.0,30.0,30.0
TSLL,2025-12-19,2025-12-26,,13.0,0.954,0.012,-0.05,0.0,1.0,2.43,,-0.006,0.003,-0.005,10.0,0.0,1.518,,,,,,,,,0.0,0.0,0.0,-0.0,-5.0,5.0,-5.0,0.0,15.18,15.18,,,-10.0,,,1.0,29.0,29.0,29.0
TSLL,2025-12-19,2025-12-26,,14.0,0.953,0.014,-0.043,0.0,2.0,2.073,,-0.015,0.008,-0.012,524.0,98.0,1.544,,,,,,,,,0.0,0.0,0.0,-0.0,-628.8,628.8,-628.8,0.0,809.056,809.056,,,-524.0,,,1.0,21.0,15.0,14.0
TSLL,2025-12-19,2025-12-26,,14.5,0.945,0.017,-0.047,0.0,2.0,2.013,,-0.007,0.005,-0.005,605.0,1.0,1.238,,,,,,,,,0.0,0.0,0.0,-0.0,-302.5,302.5,-302.5,0.0,748.99,748.99,,,-605.0,,,1.0,25.0,16.0,12.0
TSLL,2025-12-19,2025-12-26,,15.0,0.928,0.02,-0.06,10.0,0.0,2.061,,-0.018,0.01,-0.012,21.0,5.0,1.341,,,,,,,,,0.0,0.0,0.0,-60.0,-25.2,-34.8,-85.2,20.61,28.161,48.771,,,-11.0,,,1.0,28.0,28.0,28.0
TSLL,2025-12-19,2025-12-26,,15.5,0.933,0.022,-0.05,0.0,1.0,1.816,,-0.023,0.013,-0.015,420.0,0.0,1.305,,,,,,,,,0.0,0.0,0.0,-0.0,-630.0,630.0,-630.0,0.0,548.1,548.1,,,-420.0,,,1.0,20.0,19.0,15.0
TSLL,2025-12-19,2025-12-26,,16.0,0.934,0.024,-0.045,2.0,0.0,1.632,,-0.029,0.016,-0.017,225.0,43.0,1.255,,,,,,,,,0.0,0.0,0.0,-9.0,-382.5,373.5,-391.5,3.264,282.375,285.639,,,-223.0,,,1.0,24.0,23.0,21.0
TSLL,2025-12-19,2025-12-26,,16.5,0.936,0.026,-0.039,1.0,0.0,1.453,,-0.05,0.024,-0.028,351.0,3.0,1.33,,,,,,,,,0.0,0.0,0.0,-3.9,-982.8,978.9,-986.7,1.453,466.83,468.283,,,-350.0,,,1.0,17.0,20.0,18.0
TSLL,2025-12-19,2025-12-26,,17.0,0.0,0.0,0.0,13.0,175.0,0.0,,-0.034,0.022,-0.016,283.0,97.0,1.06,,,,,,,,,0.0,0.0,0.0,0.0,-452.8,452.8,-452.8,0.0,299.98,299.98,,,-270.0,,,1.0,23.0,22.0,20.0
TSLL,2025-12-19,2025-12-26,,17.5,0.925,0.035,-0.037,5.0,0.0,1.225,,-0.047,0.029,-0.021,214.0,2.0,1.033,,,,,,,,,0.0,0.0,0.0,-18.5,-449.4,430.9,-467.9,6.125,221.062,227.187,,,-209.0,,,1.0,22.0,25.0,23.0
TSLL,2025-12-19,2025-12-26,,18.0,0.869,0.045,-0.065,19.0,10.0,1.443,,-0.072,0.039,-0.03,910.0,255.0,1.06,,,,,,,,,0.0,0.0,0.0,-123.5,-2730.0,2606.5,-2853.5,27.417,964.6,992.017,,,-891.0,,,1.0,14.0,14.0,10.0
TSLL,2025-12-19,2025-12-26,,18.5,0.822,0.05,-0.087,104.0,13.0,1.593,,-0.087,0.048,-0.032,468.0,126.0,0.994,,,,,,,,,0.0,0.0,0.0,-904.8,-1497.6,592.8,-2402.4,165.672,465.192,630.864,,,-364.0,,,1.0,15.0,18.0,17.0
TSLL,2025-12-19,2025-12-26,,19.0,0.893,0.06,-0.038,158.0,39.0,0.938,,-0.107,0.06,-0.036,3861.0,750.0,0.938,,,,,,,,,0.0,0.0,0.0,-600.4,-13899.6,13299.2,-14500.0,148.204,3621.618,3769.822,,,-3703.0,,,1.0,5.0,1.0,1.0
TSLL,2025-12-19,2025-12-26,,19.5,0.799,0.069,-0.073,381.0,17.0,1.239,,-0.137,0.074,-0.04,2628.0,331.0,0.9,,,,,,,,,0.0,0.0,0.0,-2781.3,-10512.0,7730.7,-13293.3,472.059,2365.2,2837.259,,,-2247.0,,,1.0,7.0,2.0,5.0
TSLL,2025-12-19,2025-12-26,,20.0,0.839,0.091,-0.042,1059.0,53.0,0.808,,-0.184,0.089,-0.049,893.0,1263.0,0.903,,,,,,,,,0.0,0.0,0.0,-4447.8,-4375.7,-72.1,-8823.5,855.672,806.379,1662.051,,,166.0,,,1.0,11.0,8.0,25.0
TSLL,2025-12-19,2025-12-26,,20.5,0.785,0.11,-0.05,420.0,399.0,0.802,,-0.236,0.104,-0.057,1333.0,979.0,0.898,,,,,,,,,0.0,0.0,0.0,-2100.0,-7598.1,5498.1,-9698.1,336.84,1197.034,1533.874,,,-913.0,,,1.0,10.0,9.0,9.0
TSLL,2025-12-19,2025-12-26,,21.0,0.712,0.121,-0.062,1461.0,762.0,0.853,,-0.295,0.117,-0.063,843.0,801.0,0.894,,,,,,,,,0.0,0.0,0.0,-9058.2,-5310.9,-3747.3,-14369.1,1246.233,753.642,1999.875,,,618.0,,,1.0,6.0,6.0,11.0
TSLL,2025-12-19,2025-12-26,,21.5,0.648,0.136,-0.065,862.0,949.0,0.825,,-0.358,0.127,-0.068,678.0,324.0,0.887,,,,,,,,,0.0,0.0,0.0,-5603.0,-4610.4,-992.6,-10213.4,711.15,601.386,1312.536,,,184.0,,,1.0,9.0,12.0,24.0
TSLL,2025-12-19,2025-12-26,,22.0,0.579,0.153,-0.064,2877.0,2096.0,0.773,,-0.425,0.136,-0.07,604.0,992.0,0.871,,,,,,,,,0.0,0.0,0.0,-18412.8,-4228.0,-14184.8,-22640.8,2223.921,526.084,2750.005,,,2273.0,,,1.0,1.0,4.0,4.0
TSLL,2025-12-19,2025-12-26,,22.5,0.501,0.156,-0.065,1485.0,1631.0,0.771,,-0.495,0.139,-0.07,883.0,1684.0,0.867,,,,,,,,,0.0,0.0,0.0,-9652.5,-6181.0,-3471.5,-15833.5,1144.935,765.561,1910.496,,,602.0,,,1.0,4.0,7.0,13.0
TSLL,2025-12-19,2025-12-26,,23.0,0.428,0.15,-0.065,3007.0,2459.0,0.793,,-0.559,0.133,-0.072,424.0,3124.0,0.898,,,,,,,,,0.0,0.0,0.0,-19545.5,-3052.8,-16492.7,-22598.3,2384.551,380.752,2765.303,,,2583.0,,,1.0,2.0,3.0,3.0
TSLL,2025-12-19,2025-12-26,,23.5,0.354,0.144,-0.061,1626.0,1783.0,0.779,,-0.662,0.154,-0.053,362.0,2650.0,0.719,,,,,,,,,0.0,0.0,0.0,-9918.6,-1918.6,-8000.0,-11837.2,1266.654,260.278,1526.932,,,1264.0,,,1.0,8.0,10.0,7.0
TSLL,2025-12-19,2025-12-26,,24.0,0.292,0.132,-0.056,3221.0,2313.0,0.788,,-0.739,0.142,-0.045,37.0,2647.0,0.695,,,,,,,,,0.0,0.0,0.0,-18037.6,-166.5,-17871.1,-18204.1,2538.148,25.715,2563.863,,,3184.0,,,1.0,3.0,5.0,2.0
TSLL,2025-12-19,2025-12-26,,25.0,0.196,0.102,-0.048,1726.0,3149.0,0.823,,-0.897,0.094,-0.02,54.0,19.0,0.584,,,,,,,,,0.0,0.0,0.0,-8284.8,-108.0,-8176.8,-8392.8,1420.498,31.536,1452.034,,,1672.0,,,1.0,12.0,11.0,6.0
TSLL,2025-12-19,2025-12-26,,26.0,0.141,0.076,-0.042,1171.0,1439.0,0.892,,-0.923,0.064,-0.019,63.0,6.0,0.697,,,,,,,,,0.0,0.0,0.0,-4918.2,-119.7,-4798.5,-5037.9,1044.532,43.911,1088.443,,,1108.0,,,1.0,13.0,13.0,8.0
TSLL,2025-12-19,2025-12-26,,27.0,0.091,0.054,-0.031,295.0,384.0,0.908,,-0.933,0.048,-0.02,1.0,0.0,0.826,,,,,,,,,0.0,0.0,0.0,-914.5,-2.0,-912.5,-916.5,267.86,0.826,268.686,,,294.0,,,1.0,18.0,24.0,19.0
TSLL,2025-12-19,2025-12-26,,28.0,0.057,0.037,-0.022,373.0,126.0,0.92,,-0.956,0.033,-0.016,0.0,0.0,0.874,,,,,,,,,0.0,0.0,0.0,-820.6,-0.0,-820.6,-820.6,343.16,0.0,343.16,,,373.0,,,1.0,19.0,21.0,16.0
TSLL,2025-12-19,2025-12-26,,29.0,0.041,0.027,-0.018,53.0,10.0,0.968,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,-95.4,0.0,-95.4,-95.4,51.304,0.0,51.304,,,53.0,,,1.0,27.0,27.0,27.0
TSLL,2025-12-19,2025-12-26,,30.0,0.026,0.018,-0.012,121.0,5.0,0.982,,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,-145.2,0.0,-145.2,-145.2,118.822,0.0,118.822,,,120.0,,,1.0,26.0,26.0,26.0
TSLL,2025-12-19,2025-12-26,,31.0,0.027,0.017,-0.014,0.0,11.0,1.097,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,,,0.0,,,1.0,30.0,30.0,30.0
TSLL,2025-12-19,2025-12-26,,32.0,0.054,0.024,-0.032,0.0,0.0,1.417,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,,,0.0,,,1.0,30.0,30.0,30.0
TSLL,2025-12-19,2025-12-26,,33.0,0.179,0.033,-0.13,0.0,0.0,2.399,,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,,,0.0,,,1.0,30.0,30.0,30.0
TSLL,2025-12-19,2025-12-26,,34.0,0.174,0.031,-0.134,0.0,100.0,2.514,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,,,0.0,,,1.0,30.0,30.0,30.0
TSLL,2025-12-19,2025-12-26,,35.0,0.014,0.008,-0.01,0.0,60.0,1.317,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,,,0.0,,,1.0,30.0,30.0,30.0
